comment,comment1,comment2,comment3
PSG 3-1 Dortmun Mbappe 86,PSG 3-1 Dortmun,,3-1 Dortmun
"Psg 3 - 1 Dortmund , Dembele , phút 79",,,
Psg 1-0 dormun mpappe 41’,Psg 1-0 dormun,,1-0 dormun
"Psg 2-0 Dortmund,mbappé,85",Psg 2-0 Dortmund,,2-0 Dortmund
dortmun 2-2 psg sancho 89,dortmun 2-2 psg,,2-2 psg
"Psg 1 - 1 Dortmund , Sancho , phút 63",,,
PSG 2-1 Dortmund . FULLKRUG phút 86,PSG 2-1 Dortmund,,2-1 Dortmund
"PSG 3-1 Dortmund, Mbappe , Phút 84",PSG 3-1 Dortmund,,3-1 Dortmund
PSG 2-0 Dortmun Mbappe phút 81,PSG 2-0 Dortmun,,2-0 Dortmun
"Psg 1-1 Dortmund , Fullkurg , phút 84",Psg 1-1 Dortmund,,1-1 Dortmund
PSG 2-1 Dortmun Mbappe 83,PSG 2-1 Dortmun,,2-1 Dortmun
"Psg 2-1 dortmund, fullkrug 72",Psg 2-1 dortmund,,2-1 dortmund
"psg 3-0 dortmun , mbappe 82",psg 3-0 dortmun,,3-0 dortmun
Psg 3-0 mbape p83,Psg 3-0 mbape,,3-0 mbape
3-2 psg mbape 87,,,3-2 psg
"Psg 2-4 Dortmund, Dembele, phút 24",Psg 2-4 Dortmund,,2-4 Dortmund
paris saint germain 5-0 dortmun marquinhos,germain 5-0 dortmun,,5-0 dortmun
"PSG 2-1 Dortmund, Brandt , Phút 78",PSG 2-1 Dortmund,,2-1 Dortmund
"Psg 2 - 1 Dormund , Sabitzer, 79",,,
PSG 3-1 Dortmun Mbappe 78,PSG 3-1 Dortmun,,3-1 Dortmun
"psg 1 - 3, Reus, 85 dormund",,,
"Psg 3-1 Dortmund, Asensio, phút 90",Psg 3-1 Dortmund,,3-1 Dortmund
"Psg 3-2 drm, mbappe 88",Psg 3-2 drm,,3-2 drm
"PSG 2-1 DORTMUND,K. Mbappe phút 83",PSG 2-1 DORTMUND,,2-1 DORTMUND
PSG 2-1 Dortmun Mbappe 85,PSG 2-1 Dortmun,,2-1 Dortmun
PSG 1-1 BVB.  Sancho  58,PSG 1-1 BVB,,1-1 BVB
Psg 3-1 dormund mbappe90,Psg 3-1 dormund,,3-1 dormund
Psg 2-1 dortmun sancho 78,Psg 2-1 dortmun,,2-1 dortmun
Psg 2-0 dortmun dembele 70,Psg 2-0 dortmun,,2-0 dortmun
"Psg 3-1 Dortmund, G.Ramos , phút 90",Psg 3-1 Dortmund,,3-1 Dortmund
Psg 2-1 dort mpape 19,Psg 2-1 dort,,2-1 dort
"Psg 1 - 0 dortmund , mbappe 65",,,
"Psg 2-1 dortmund, mbappe 75’",Psg 2-1 dortmund,,2-1 dortmund
"Psg 2 - 2 Dortmund, 84 dembele",,,
Dormund 2-2psg  mbappe 88’,,,
"Psg 3-1 Dortmund, G.Ramos , phút 88",Psg 3-1 Dortmund,,3-1 Dortmund
PSG 2-1 Dortmun Mbappe 66,PSG 2-1 Dortmun,,2-1 Dortmun
